index,add,coord,id,side,state,cnty,key1,block
104,"515 KNICKERBOCKER AVE, BROOKLYN, NY, 11237","-73.916504,40.697765",59082935,L,36,47,43300,2002
106,"211 8TH ST, BROOKLYN, NY, 11215","-73.98802,40.670864",59075699,L,36,47,13700,3000
107,"3829 AVE K, BROOKLYN, NY, 11210","-73.93895,40.625618",59082203,L,36,47,73400,2003
108,"18 BEAVER ST, BROOKLYN, NY, 11206","-73.93842,40.70065",59079044,L,36,47,38900,1001
109,"5301 20TH AVE, BROOKLYN, NY, 11204","-73.97883,40.623276",59089267,L,36,47,46400,1006
110,"150 ALBANY AVE, BROOKLYN, NY, 11213","-73.938866,40.675186",59079662,R,36,47,31100,2002
111,"100 IRVING AVE, BROOKLYN, NY, 11237","-73.92303,40.703938",59082629,R,36,47,42900,1000
112,"515 4TH AVE, BROOKLYN, NY, 11215","-73.99104,40.667553",59075643,L,36,47,14100,3000
113,"211 THROOP AVE, BROOKLYN, NY, 11206","-73.94382,40.69756",650067132,L,36,47,28502,1001
114,"424 LEONARD ST, BROOKLYN, NY, 11222","-73.9487,40.72027",59076540,R,36,47,49900,2005
115,"7805 7TH AVE, BROOKLYN, NY, 11228","-74.018875,40.624294",641309178,L,36,47,20600,2003
116,"2075 84TH ST, BROOKLYN, NY, 11214","-73.99547,40.604824",59088266,L,36,47,28800,1002
117,"284 BALTIC ST, BROOKLYN, NY, 11201","-73.99338,40.685432",59075233,R,36,47,6900,3001
118,"70 OCEAN PKWY, BROOKLYN, NY, 11218","-73.9754,40.64845",59080545,R,36,47,50000,2005
119,"4305 FORT HAMILTON PKWY, BROOKLYN, NY, 11219","-73.99344,40.64119",59080104,L,36,47,22400,3001
120,"320 MANHATTAN AVE, BROOKLYN, NY, 11211","-73.94611,40.71468",59076850,R,36,47,49700,3003
121,"610 BALTIC ST, BROOKLYN, NY, 11217","-73.980606,40.68047",59096549,R,36,47,12901,3002
122,"4001 18TH AVE, BROOKLYN, NY, 11218","-73.97328,40.632576",59080814,L,36,47,48000,1001
123,"684 LINDEN BLVD, BROOKLYN, NY, 11203","-73.93319,40.65364",59083553,R,36,47,87000,2003
124,"4004 4TH AVE, BROOKLYN, NY, 11232","-74.00682,40.65201",59094748,R,36,47,8200,3000
125,"121 SARATOGA AVE, BROOKLYN, NY, 11233","-73.91718,40.6829",59083160,L,36,47,37300,3000
126,"760 PROSPECT PL, BROOKLYN, NY, 11216","-73.9512,40.67437",59079367,R,36,47,31701,2001
127,"760 PROSPECT PL, BROOKLYN, NY, 11216","-73.9512,40.67437",59079367,R,36,47,31701,2001
128,"330 RUGBY RD, BROOKLYN, NY, 11226","-73.96548,40.641697",59080927,R,36,47,152200,3008
129,"141 MACON ST, BROOKLYN, NY, 11216","-73.94383,40.681755",59079211,L,36,47,26900,3000
130,"655 PARKSIDE AVE, BROOKLYN, NY, 11226","-73.95161,40.656178",59079612,L,36,47,80200,2001
133,"100 NOLL ST, BROOKLYN, NY, 11206","-73.933044,40.70092",59082497,R,36,47,42500,2001
134,"610 HENRY ST, BROOKLYN, NY, 11231","-74.00156,40.67969",59093789,R,36,47,6300,2004
135,"325 BUSHWICK AVE, BROOKLYN, NY, 11206","-73.93929,40.7048",59077293,L,36,47,48500,2003
136,"700 SUTTER AVE, BROOKLYN, NY, 11207","-73.892815,40.669724",59085048,R,36,47,115800,2002
137,"364 SACKMAN ST, BROOKLYN, NY, 11212","-73.9047,40.668877",59084576,R,36,47,90800,3002
138,"763 KNICKERBOCKER AVE, BROOKLYN, NY, 11207","-73.908676,40.69331",59083095,L,36,47,43700,4001
139,"725 E 23RD ST, BROOKLYN, NY, 11210","-73.95479,40.632854",59099999,L,36,47,77200,1005
140,"725 E 23RD ST, BROOKLYN, NY, 11210","-73.95479,40.632854",59099999,L,36,47,77200,1005
141,"1970 HOMECREST AVE, BROOKLYN, NY, 11229","-73.95976,40.601543",59089927,R,36,47,55600,3002
142,"1625 11TH AVE, BROOKLYN, NY, 11215","-73.97619,40.657463",59078358,L,36,47,17100,2001
143,"1355 HERKIMER ST, BROOKLYN, NY, 11233","-73.90873,40.677414",59083866,L,36,47,36900,2000
144,"104 SUTTER AVE, BROOKLYN, NY, 11212","-73.91811,40.665966",59083801,R,36,47,90000,2002
145,"850 KENT AVE, BROOKLYN, NY, 11205","-73.95956,40.695374",59077910,R,36,47,123700,1003
146,"400 ASHFORD ST, BROOKLYN, NY, 11207","-73.88478,40.67252",59085131,R,36,47,115000,2001
147,"2781 PITKIN AVE, BROOKLYN, NY, 11208","-73.86966,40.675735",59095279,L,36,47,120000,1006
148,"5105 FORT HAMILTON PKWY, BROOKLYN, NY, 11219","-73.99917,40.637356",59097958,L,36,47,22000,3002
149,"330 CROWN ST, BROOKLYN, NY, 11225","-73.94892,40.66618",59079455,R,36,47,31900,3000
150,"1390 WILLOUGHBY AVE, BROOKLYN, NY, 11237","-73.92004,40.707012",59082459,R,36,47,44500,3000
